,Напряжение бортовой сети,Количество топлива,Напряжение аккумуляторной батареи,Оценка риска,Источник риска
2150,12.266114,38.514603,12.2,0.218969283405461,Неустойчивое напряжение бортовой сети
2160,12.320443,38.457334,12.2,0.2268441375131401,Неустойчивое напряжение бортовой сети
2170,12.356997,38.40102,12.2,0.2300394197774086,Неустойчивое напряжение бортовой сети
2180,12.389854,38.349601,12.2,0.23149548035980716,Неустойчивое напряжение бортовой сети
2190,12.388808,38.300318,12.2,0.2322881680678784,Неустойчивое напряжение бортовой сети
2200,12.354821,38.258255,12.2,0.23279350615259892,Неустойчивое напряжение бортовой сети
2210,12.331181,38.218792,12.2,0.23315178298761097,Неустойчивое напряжение бортовой сети
2220,12.326612,38.181798,12.2,0.2334817311352421,Неустойчивое напряжение бортовой сети
2230,12.357354,38.141228,12.2,0.23378921639549688,Неустойчивое напряжение бортовой сети
2240,12.395144,38.086461,12.2,0.22355066932143508,Неустойчивое напряжение бортовой сети
2250,12.405238,38.025519,12.2,0.21885883991786415,Неустойчивое напряжение бортовой сети
2260,12.355921,37.969564,12.2,0.21745267316094763,Неустойчивое напряжение бортовой сети
2270,12.316776,37.928281,12.2,0.2172301062282283,Неустойчивое напряжение бортовой сети
2280,12.301361,37.893345,12.2,0.21929102208491824,Неустойчивое напряжение бортовой сети
2290,12.323845,37.84957,12.2,0.22330624344366337,Неустойчивое напряжение бортовой сети
2300,12.363558,37.801533,12.2,0.22502048974981415,Неустойчивое напряжение бортовой сети
2310,12.42183,37.755827,12.2,0.22590313611825052,Неустойчивое напряжение бортовой сети
2320,12.404195,37.709428,12.2,0.22646847781807153,Неустойчивое напряжение бортовой сети
2330,12.364708,37.665404,12.2,0.22690901988833312,Неустойчивое напряжение бортовой сети
2340,12.339674,37.622448,12.2,0.22728469597270914,Неустойчивое напряжение бортовой сети
2350,12.35211,37.579311,12.2,0.22765145849087687,Неустойчивое напряжение бортовой сети
2360,12.332636,37.535092,12.2,0.22801627444780978,Неустойчивое напряжение бортовой сети
2370,12.361769,37.490399,12.2,0.22402250698673998,Неустойчивое напряжение бортовой сети
2380,12.354783,37.44498,12.2,0.2210810041786518,Неустойчивое напряжение бортовой сети
2390,12.318096,37.398319,12.2,0.22024691924773532,Неустойчивое напряжение бортовой сети
2400,12.285438,37.351129,12.2,0.22302562446977145,Неустойчивое напряжение бортовой сети
2410,12.331624,37.301681,12.2,0.2306074355116371,Неустойчивое напряжение бортовой сети
2420,12.365795,37.247758,12.2,0.23369299382917624,Неустойчивое напряжение бортовой сети
2430,12.401319,37.191918,12.2,0.23513193342144395,Неустойчивое напряжение бортовой сети
2440,12.405539,37.14024,12.2,0.23596508911021585,Неустойчивое напряжение бортовой сети
2450,12.374575,37.098695,12.2,0.2365345384757352,Неустойчивое напряжение бортовой сети
2460,12.296275,37.061514,12.2,0.2369286004028912,Неустойчивое напряжение бортовой сети
2470,12.286518,37.025514,12.2,0.23727706601620083,Неустойчивое напряжение бортовой сети
2480,12.313659,36.989189,12.2,0.23760256351950762,Неустойчивое напряжение бортовой сети
2490,12.35274,36.95269,12.2,0.23771546871969135,Неустойчивое напряжение бортовой сети
2500,12.367831,36.914357,12.2,0.2379582227732502,Неустойчивое напряжение бортовой сети
2510,12.405474,36.872222,12.2,0.23825986147054717,Неустойчивое напряжение бортовой сети
